timestamp,frame_num,ear,mar,phone_confidence,fps
2026-08-04T10:20:51.339180,1,0.133,0.009,0.000,81.1
2026-08-04T10:20:51.458978,2,0.193,0.011,0.000,96.7
2026-08-04T10:20:51.592194,3,0.214,0.010,0.000,7.6
2026-08-04T10:20:51.601461,4,0.228,0.010,0.000,126.9
2026-08-04T10:20:51.653638,5,0.230,0.009,0.000,19.5
2026-08-04T10:20:51.751836,6,0.233,0.009,0.000,10.3
2026-08-04T10:20:51.762833,7,0.237,0.009,0.000,100.4
2026-08-04T10:20:51.817580,8,0.238,0.008,0.000,18.5
2026-08-04T10:20:51.893847,9,0.239,0.008,0.000,13.3
2026-08-04T10:20:51.914006,10,0.242,0.009,0.000,51.4
2026-08-04T10:20:51.949904,11,0.242,0.008,0.000,28.4
2026-08-04T10:20:52.018967,12,0.242,0.009,0.000,14.7
2026-08-04T10:20:52.029389,13,0.243,0.010,0.000,103.9
2026-08-04T10:20:52.087392,14,0.243,0.009,0.000,17.5
2026-08-04T10:20:52.179663,15,0.246,0.008,0.000,11.0
2026-08-04T10:20:52.188803,16,0.244,0.008,0.000,119.1
2026-08-04T10:20:52.248953,17,0.246,0.009,0.000,17.3
2026-08-04T10:20:52.319529,18,0.246,0.008,0.000,14.4
2026-08-04T10:20:52.349826,19,0.249,0.008,0.000,33.7
2026-08-04T10:20:52.386035,20,0.249,0.008,0.000,28.6
2026-08-04T10:20:52.480803,21,0.248,0.008,0.000,10.7
2026-08-04T10:20:52.491054,22,0.246,0.008,0.000,104.2
2026-08-04T10:20:52.549091,23,0.246,0.009,0.000,17.5
2026-08-04T10:20:52.613850,24,0.244,0.008,0.000,15.7
2026-08-04T10:20:52.622935,25,0.242,0.008,0.000,119.7
2026-08-04T10:20:52.682221,26,0.242,0.008,0.000,17.1
2026-08-04T10:20:52.747762,27,0.242,0.008,0.000,15.5
2026-08-04T10:20:52.783779,28,0.242,0.008,0.000,29.2
2026-08-04T10:20:52.818002,29,0.241,0.008,0.000,30.5
2026-08-04T10:20:52.923511,30,0.241,0.008,0.000,9.6
2026-08-04T10:20:52.933892,31,0.240,0.008,0.000,108.8
2026-08-04T10:20:52.980454,32,0.241,0.009,0.000,21.8
2026-08-04T10:20:53.050301,33,0.242,0.009,0.000,14.6
2026-08-04T10:20:53.079062,34,0.245,0.007,0.000,35.7
2026-08-04T10:20:53.113836,35,0.245,0.007,0.000,29.6
2026-08-04T10:20:53.183143,36,0.246,0.007,0.000,14.7
2026-08-04T10:20:53.193871,37,0.246,0.007,0.000,99.8
2026-08-04T10:20:53.248975,38,0.246,0.007,0.000,18.4
2026-08-04T10:20:53.348032,39,0.247,0.008,0.000,10.2
2026-08-04T10:20:53.358417,40,0.248,0.008,0.000,114.2
2026-08-04T10:20:53.413097,41,0.251,0.008,0.000,18.5
2026-08-04T10:20:53.480739,42,0.250,0.008,0.000,15.0
2026-08-04T10:20:53.511855,43,0.250,0.008,0.000,32.8
2026-08-04T10:20:53.550158,44,0.251,0.009,0.000,26.7
2026-08-04T10:20:53.644828,45,0.250,0.009,0.000,10.7
2026-08-04T10:20:53.654977,46,0.249,0.009,0.000,105.7
2026-08-04T10:20:53.713684,47,0.249,0.009,0.000,17.2
2026-08-04T10:20:53.774652,48,0.244,0.009,0.000,16.7
2026-08-04T10:20:53.785471,49,0.235,0.009,0.000,98.8
2026-08-04T10:20:53.846496,50,0.229,0.008,0.000,16.7
2026-08-04T10:20:53.914929,51,0.226,0.009,0.000,14.8
2026-08-04T10:20:53.944610,52,0.227,0.010,0.000,34.7
2026-08-04T10:20:53.980530,53,0.226,0.009,0.000,29.0
2026-08-04T10:20:54.085646,54,0.225,0.009,0.000,9.6
2026-08-04T10:20:54.096183,55,0.224,0.008,0.000,101.8
2026-08-04T10:20:54.144742,56,0.229,0.009,0.000,20.9
2026-08-04T10:20:54.214781,57,0.229,0.009,0.000,14.4
2026-08-04T10:20:54.244458,58,0.227,0.008,0.000,34.5
2026-08-04T10:20:54.275040,59,0.227,0.008,0.000,33.6
2026-08-04T10:20:54.346150,60,0.228,0.009,0.000,14.3
2026-08-04T10:20:54.355896,61,0.227,0.008,0.000,113.2
2026-08-04T10:20:54.414287,62,0.226,0.008,0.000,17.4
2026-08-04T10:20:54.512596,63,0.227,0.009,0.000,10.3
2026-08-04T10:20:54.523822,64,0.226,0.008,0.000,96.8
2026-08-04T10:20:54.577688,65,0.226,0.008,0.000,18.8
2026-08-04T10:20:54.648086,66,0.225,0.008,0.000,14.4
2026-08-04T10:20:54.675228,67,0.226,0.007,0.000,37.8
2026-08-04T10:20:54.714589,68,0.228,0.008,0.000,25.8
2026-08-04T10:20:54.815149,69,0.231,0.006,0.000,10.0
2026-08-04T10:20:54.825128,70,0.211,0.007,0.000,108.6
2026-08-04T10:20:54.877465,71,0.065,0.009,0.000,19.3
2026-08-04T10:20:54.939967,72,0.038,0.010,0.000,16.3
2026-08-04T10:20:54.948468,73,0.043,0.009,0.000,129.8
2026-08-04T10:20:55.009040,74,0.119,0.011,0.000,16.7
2026-08-04T10:20:55.075828,75,0.158,0.013,0.293,15.2
2026-08-04T10:20:55.108307,76,0.221,0.012,0.293,31.6
2026-08-04T10:20:55.144047,77,0.242,0.008,0.293,28.6
2026-08-04T10:20:55.246576,78,0.261,0.004,0.000,9.8
2026-08-04T10:20:55.255703,79,0.278,0.002,0.000,120.3
2026-08-04T10:20:55.308958,80,0.279,0.001,0.000,19.0
2026-08-04T10:20:55.381289,81,0.288,0.005,0.000,14.0
2026-08-04T10:20:55.406793,82,0.293,0.007,0.000,40.3
2026-08-04T10:20:55.441424,83,0.294,0.004,0.000,29.6
2026-08-04T10:20:55.514113,84,0.298,0.007,0.000,14.0
2026-08-04T10:20:55.523461,85,0.298,0.008,0.000,116.4
2026-08-04T10:20:55.576246,86,0.304,0.007,0.000,19.3
2026-08-04T10:20:55.672911,87,0.304,0.007,0.000,10.4
2026-08-04T10:20:55.682966,88,0.305,0.005,0.000,106.8
2026-08-04T10:20:55.742282,89,0.304,0.005,0.000,17.1
2026-08-04T10:20:55.808993,90,0.301,0.006,0.000,15.2
2026-08-04T10:20:55.842260,91,0.303,0.004,0.000,30.7
2026-08-04T10:20:55.879680,92,0.305,0.006,0.000,27.3
2026-08-04T10:20:55.976943,93,0.309,0.001,0.000,10.5
2026-08-04T10:20:55.986077,94,0.309,0.002,0.000,118.4
2026-08-04T10:20:56.042414,95,0.306,0.001,0.000,18.1
2026-08-04T10:20:56.107851,96,0.304,0.001,0.000,15.5
2026-08-04T10:20:56.119656,97,0.296,0.001,0.000,95.5
2026-08-04T10:20:56.174091,98,0.125,0.004,0.000,18.6
2026-08-04T10:20:56.246202,99,0.057,0.010,0.432,14.0
2026-08-04T10:20:56.271220,100,0.061,0.006,0.432,41.3
2026-08-04T10:20:56.309509,101,0.109,0.005,0.432,26.8
2026-08-04T10:20:56.408518,102,0.166,0.004,0.286,10.2
2026-08-04T10:20:56.418280,103,0.193,0.003,0.286,115.3
2026-08-04T10:20:56.474413,104,0.208,0.006,0.286,18.0
2026-08-04T10:20:56.545293,105,0.215,0.007,0.295,14.3
2026-08-04T10:20:56.570927,106,0.230,0.007,0.295,40.1
2026-08-04T10:20:56.605306,107,0.236,0.005,0.295,29.9
2026-08-04T10:20:56.678709,108,0.241,0.007,0.000,13.8
2026-08-04T10:20:56.688755,109,0.249,0.006,0.000,108.5
2026-08-04T10:20:56.741765,110,0.255,0.007,0.000,19.2
2026-08-04T10:20:56.840740,111,0.254,0.005,0.000,10.2
2026-08-04T10:20:56.850658,112,0.259,0.007,0.000,108.5
2026-08-04T10:20:56.907309,113,0.260,0.007,0.000,17.9
2026-08-04T10:20:56.980794,114,0.262,0.007,0.000,13.8
2026-08-04T10:20:57.003904,115,0.259,0.008,0.000,44.6
2026-08-04T10:20:57.041623,116,0.259,0.009,0.000,28.3
2026-08-04T10:20:57.140712,117,0.259,0.007,0.000,10.2
2026-08-04T10:20:57.152030,118,0.260,0.006,0.000,103.8
2026-08-04T10:20:57.206477,119,0.260,0.006,0.000,18.7
2026-08-04T10:20:57.271800,120,0.260,0.007,0.000,15.6
2026-08-04T10:20:57.281789,121,0.260,0.007,0.000,107.6
2026-08-04T10:20:57.339805,122,0.260,0.007,0.000,17.4
2026-08-04T10:20:57.412611,123,0.260,0.007,0.000,14.0
2026-08-04T10:20:57.434620,124,0.261,0.007,0.000,47.1
2026-08-04T10:20:57.473580,125,0.261,0.008,0.000,26.3
2026-08-04T10:20:57.569156,126,0.261,0.008,0.000,10.6
2026-08-04T10:20:57.582091,127,0.261,0.008,0.000,81.4
2026-08-04T10:20:57.638050,128,0.264,0.008,0.000,18.2
2026-08-04T10:20:57.707564,129,0.266,0.008,0.000,14.6
2026-08-04T10:20:57.735823,130,0.266,0.009,0.000,36.3
2026-08-04T10:20:57.768688,131,0.266,0.008,0.000,31.5
2026-08-04T10:20:57.840200,132,0.267,0.008,0.000,14.2
2026-08-04T10:20:57.852975,133,0.267,0.007,0.000,83.2
2026-08-04T10:20:57.906957,134,0.265,0.007,0.000,18.9
2026-08-04T10:20:58.000122,135,0.267,0.008,0.000,10.9
2026-08-04T10:20:58.008402,136,0.267,0.008,0.000,131.6
2026-08-04T10:20:58.068464,137,0.267,0.008,0.000,16.9
2026-08-04T10:20:58.144950,138,0.267,0.008,0.000,13.3
2026-08-04T10:20:58.166301,139,0.269,0.007,0.000,48.4
2026-08-04T10:20:58.203994,140,0.269,0.006,0.000,27.1
2026-08-04T10:20:58.302364,141,0.270,0.007,0.000,10.3
2026-08-04T10:20:58.313802,142,0.271,0.007,0.000,93.4
2026-08-04T10:20:58.369988,143,0.270,0.006,0.000,18.3
2026-08-04T10:20:58.432648,144,0.271,0.006,0.000,16.3
2026-08-04T10:20:58.443895,145,0.271,0.007,0.000,104.0
2026-08-04T10:20:58.501540,146,0.270,0.008,0.000,17.6
2026-08-04T10:20:58.570251,147,0.269,0.007,0.000,14.8
2026-08-04T10:20:58.599888,148,0.262,0.008,0.000,34.6
2026-08-04T10:20:58.635947,149,0.257,0.007,0.000,28.9
2026-08-04T10:20:58.730755,150,0.110,0.010,0.000,10.7
2026-08-04T10:20:58.741965,151,0.066,0.013,0.000,105.0
2026-08-04T10:20:58.801372,152,0.037,0.021,0.000,17.2
2026-08-04T10:20:58.875725,153,0.033,0.029,0.000,13.6
2026-08-04T10:20:58.899799,154,0.033,0.036,0.000,42.8
2026-08-04T10:20:58.931987,155,0.035,0.041,0.000,32.6
2026-08-04T10:20:58.999294,156,0.048,0.044,0.000,15.0
2026-08-04T10:20:59.010914,157,0.070,0.047,0.000,91.5
2026-08-04T10:20:59.069863,158,0.076,0.056,0.000,17.4
2026-08-04T10:20:59.135222,159,0.076,0.055,0.000,15.5
2026-08-04T10:20:59.143840,160,0.081,0.049,0.000,126.7
2026-08-04T10:20:59.201018,161,0.090,0.049,0.000,17.7
2026-08-04T10:20:59.268382,162,0.096,0.050,0.253,15.0
2026-08-04T10:20:59.278322,163,0.103,0.050,0.253,109.6
2026-08-04T10:20:59.333540,164,0.108,0.053,0.253,18.9
