timestamp,frame_num,ear,mar,phone_confidence,fps
2026-08-04T10:20:02.660970,1,0.339,0.008,0.000,76.9
2026-08-04T10:20:02.787647,2,0.342,0.008,0.000,112.9
2026-08-04T10:20:02.906433,3,0.342,0.008,0.000,8.5
2026-08-04T10:20:02.917561,4,0.339,0.007,0.000,103.7
2026-08-04T10:20:02.978309,5,0.338,0.007,0.000,16.7
2026-08-04T10:20:03.048280,6,0.337,0.007,0.000,14.5
2026-08-04T10:20:03.058374,7,0.337,0.007,0.000,105.5
2026-08-04T10:20:03.108267,8,0.339,0.007,0.000,20.4
2026-08-04T10:20:03.170819,9,0.340,0.008,0.000,16.3
2026-08-04T10:20:03.181354,10,0.338,0.008,0.000,102.1
2026-08-04T10:20:03.240229,11,0.338,0.007,0.000,17.2
2026-08-04T10:20:03.308467,12,0.339,0.007,0.000,14.8
2026-08-04T10:20:03.339334,13,0.342,0.007,0.000,33.1
2026-08-04T10:20:03.376938,14,0.343,0.007,0.000,27.1
2026-08-04T10:20:03.474065,15,0.343,0.007,0.000,10.4
2026-08-04T10:20:03.483567,16,0.344,0.007,0.000,114.1
2026-08-04T10:20:03.541356,17,0.341,0.007,0.000,18.0
2026-08-04T10:20:03.611855,18,0.342,0.008,0.000,14.6
2026-08-04T10:20:03.639040,19,0.340,0.008,0.000,37.7
2026-08-04T10:20:03.671345,20,0.323,0.008,0.000,31.7
2026-08-04T10:20:03.739635,21,0.236,0.010,0.000,14.9
2026-08-04T10:20:03.749067,22,0.123,0.009,0.000,114.7
2026-08-04T10:20:03.808430,23,0.082,0.006,0.000,17.1
2026-08-04T10:20:03.905337,24,0.123,0.005,0.000,10.4
2026-08-04T10:20:03.915075,25,0.157,0.006,0.000,111.7
2026-08-04T10:20:03.973638,26,0.175,0.004,0.000,17.3
2026-08-04T10:20:04.043800,27,0.190,0.005,0.000,14.4
2026-08-04T10:20:04.070074,28,0.241,0.004,0.000,39.2
2026-08-04T10:20:04.108272,29,0.268,0.004,0.000,26.6
2026-08-04T10:20:04.207675,30,0.311,0.006,0.000,10.1
2026-08-04T10:20:04.216820,31,0.332,0.006,0.000,121.9
2026-08-04T10:20:04.271523,32,0.348,0.007,0.000,18.6
2026-08-04T10:20:04.337523,33,0.352,0.008,0.000,15.4
2026-08-04T10:20:04.346927,34,0.360,0.010,0.000,118.1
2026-08-04T10:20:04.403470,35,0.367,0.012,0.000,17.9
2026-08-04T10:20:04.471781,36,0.371,0.013,0.000,14.8
2026-08-04T10:20:04.503887,37,0.374,0.015,0.000,32.0
2026-08-04T10:20:04.541807,38,0.373,0.015,0.000,26.9
2026-08-04T10:20:04.638182,39,0.359,0.012,0.000,10.6
2026-08-04T10:20:04.648723,40,0.364,0.011,0.000,118.5
2026-08-04T10:20:04.705778,41,0.362,0.011,0.000,17.8
2026-08-04T10:20:04.773130,42,0.364,0.009,0.000,15.0
2026-08-04T10:20:04.803275,43,0.362,0.009,0.000,33.9
2026-08-04T10:20:04.836878,44,0.367,0.010,0.000,30.5
2026-08-04T10:20:04.913899,45,0.363,0.009,0.000,13.2
2026-08-04T10:20:04.925028,46,0.355,0.008,0.000,95.9
2026-08-04T10:20:04.973572,47,0.351,0.007,0.000,20.9
2026-08-04T10:20:05.074986,48,0.338,0.005,0.000,9.9
2026-08-04T10:20:05.084209,49,0.331,0.004,0.000,116.7
2026-08-04T10:20:05.135994,50,0.294,0.006,0.000,19.6
2026-08-04T10:20:05.209337,51,0.205,0.009,0.000,13.8
2026-08-04T10:20:05.234165,52,0.231,0.011,0.000,41.5
2026-08-04T10:20:05.274747,53,0.263,0.011,0.000,25.5
2026-08-04T10:20:05.374849,54,0.298,0.006,0.000,10.1
2026-08-04T10:20:05.383886,55,0.306,0.004,0.000,118.9
2026-08-04T10:20:05.435796,56,0.321,0.005,0.000,19.5
2026-08-04T10:20:05.503850,57,0.323,0.005,0.000,14.8
2026-08-04T10:20:05.514089,58,0.321,0.008,0.000,107.1
2026-08-04T10:20:05.568378,59,0.323,0.010,0.000,18.8
2026-08-04T10:20:05.636477,60,0.322,0.010,0.000,14.9
2026-08-04T10:20:05.667788,61,0.323,0.013,0.000,33.6
2026-08-04T10:20:05.703820,62,0.322,0.013,0.000,28.4
2026-08-04T10:20:05.802730,63,0.329,0.010,0.000,10.2
2026-08-04T10:20:05.813085,64,0.330,0.012,0.000,104.1
2026-08-04T10:20:05.868108,65,0.333,0.011,0.000,18.5
2026-08-04T10:20:05.938669,66,0.333,0.012,0.000,14.3
2026-08-04T10:20:05.967098,67,0.329,0.011,0.000,36.3
2026-08-04T10:20:06.002529,68,0.332,0.009,0.000,28.9
2026-08-04T10:20:06.076539,69,0.333,0.009,0.000,13.7
2026-08-04T10:20:06.085682,70,0.334,0.009,0.000,117.6
2026-08-04T10:20:06.137864,71,0.333,0.009,0.000,19.5
2026-08-04T10:20:06.231827,72,0.327,0.009,0.000,10.7
2026-08-04T10:20:06.240800,73,0.327,0.008,0.000,120.3
2026-08-04T10:20:06.302895,74,0.333,0.009,0.000,16.5
2026-08-04T10:20:06.374275,75,0.329,0.009,0.000,14.3
