timestamp,frame_num,ear,mar,phone_confidence,fps
2026-08-04T10:21:57.542925,1,0.275,0.008,0.000,75.0
2026-08-04T10:21:57.666959,2,0.277,0.009,0.000,108.1
2026-08-04T10:21:57.788018,3,0.276,0.009,0.000,8.4
2026-08-04T10:21:57.797889,4,0.274,0.009,0.000,118.2
2026-08-04T10:21:57.851779,5,0.273,0.009,0.000,19.1
2026-08-04T10:21:57.925190,6,0.273,0.009,0.000,13.8
2026-08-04T10:21:57.935967,7,0.272,0.009,0.000,100.2
2026-08-04T10:21:57.986859,8,0.272,0.009,0.000,20.0
2026-08-04T10:21:58.057920,9,0.272,0.009,0.000,14.3
2026-08-04T10:21:58.085565,10,0.272,0.009,0.000,37.2
2026-08-04T10:21:58.118426,11,0.272,0.009,0.000,32.4
2026-08-04T10:21:58.188290,12,0.273,0.009,0.000,14.5
2026-08-04T10:21:58.197752,13,0.272,0.009,0.000,113.7
2026-08-04T10:21:58.253441,14,0.272,0.009,0.000,18.2
2026-08-04T10:21:58.353543,15,0.272,0.009,0.000,10.1
2026-08-04T10:21:58.362762,16,0.272,0.009,0.000,117.5
2026-08-04T10:21:58.422101,17,0.273,0.009,0.000,17.1
2026-08-04T10:21:58.494664,18,0.273,0.009,0.000,14.1
2026-08-04T10:21:58.516944,19,0.273,0.009,0.000,46.7
2026-08-04T10:21:58.554489,20,0.273,0.009,0.000,27.2
2026-08-04T10:21:58.650989,21,0.274,0.009,0.000,10.4
2026-08-04T10:21:58.663698,22,0.274,0.010,0.000,93.7
2026-08-04T10:21:58.720213,23,0.272,0.010,0.000,18.0
2026-08-04T10:21:58.786866,24,0.272,0.011,0.000,15.3
2026-08-04T10:21:58.796233,25,0.274,0.010,0.000,117.5
2026-08-04T10:21:58.850200,26,0.275,0.009,0.000,18.8
2026-08-04T10:21:58.922603,27,0.274,0.009,0.000,14.0
2026-08-04T10:21:58.949377,28,0.274,0.009,0.000,38.4
2026-08-04T10:21:58.986888,29,0.273,0.009,0.000,27.5
2026-08-04T10:21:59.087938,30,0.275,0.009,0.000,10.0
2026-08-04T10:21:59.097949,31,0.275,0.009,0.000,107.1
2026-08-04T10:21:59.150176,32,0.275,0.009,0.000,19.5
2026-08-04T10:21:59.225271,33,0.275,0.008,0.000,13.5
2026-08-04T10:21:59.250308,34,0.274,0.008,0.000,41.8
2026-08-04T10:21:59.283771,35,0.274,0.008,0.000,30.7
2026-08-04T10:21:59.353363,36,0.274,0.007,0.000,14.6
2026-08-04T10:21:59.362496,37,0.274,0.008,0.000,118.6
2026-08-04T10:21:59.421353,38,0.275,0.008,0.000,17.2
2026-08-04T10:21:59.523044,39,0.273,0.007,0.000,9.9
2026-08-04T10:21:59.532505,40,0.272,0.007,0.000,116.6
2026-08-04T10:21:59.582584,41,0.273,0.007,0.000,20.2
2026-08-04T10:21:59.653827,42,0.273,0.007,0.000,14.2
2026-08-04T10:21:59.680673,43,0.274,0.009,0.000,38.2
2026-08-04T10:21:59.719919,44,0.274,0.009,0.000,26.4
2026-08-04T10:21:59.813512,45,0.253,0.006,0.000,10.8
2026-08-04T10:21:59.824771,46,0.218,0.006,0.000,94.4
2026-08-04T10:21:59.883840,47,0.089,0.006,0.000,17.2
2026-08-04T10:21:59.951304,48,0.096,0.007,0.275,15.0
2026-08-04T10:21:59.960385,49,0.132,0.007,0.275,121.6
2026-08-04T10:22:00.015078,50,0.234,0.005,0.275,18.8
2026-08-04T10:22:00.084031,51,0.265,0.004,0.000,14.7
2026-08-04T10:22:00.114738,52,0.290,0.005,0.000,33.4
2026-08-04T10:22:00.151430,53,0.306,0.008,0.000,28.2
2026-08-04T10:22:00.249087,54,0.318,0.007,0.000,10.4
2026-08-04T10:22:00.260014,55,0.319,0.009,0.000,97.2
2026-08-04T10:22:00.315356,56,0.321,0.008,0.000,18.3
2026-08-04T10:22:00.388120,57,0.333,0.010,0.000,13.9
2026-08-04T10:22:00.412637,58,0.333,0.010,0.000,42.2
2026-08-04T10:22:00.449226,59,0.345,0.010,0.000,28.0
2026-08-04T10:22:00.519197,60,0.354,0.011,0.000,14.6
2026-08-04T10:22:00.529892,61,0.346,0.010,0.000,102.8
2026-08-04T10:22:00.584137,62,0.352,0.009,0.000,18.7
